"","datetime","tempC","windMS","irradiance","rainmm","intensity","rockfall","solarInsol24","sumrain24","sumrain6","FP"
"241",2022-04-03 00:00:35,-2.65622222222222,0.389065224194197,38.0595971524146,0,0,0,3197.34641693557,0.13,0,2.65548438271607
"242",2022-04-03 01:00:35,4.55727777777778,1.3771737672672,129.675444513283,0,0,0,3151.17778392391,0.13,0,0
"243",2022-04-03 02:00:36,-3.00522222222222,0.227100004470473,11.141601626554,0,0,0,3180.58695615353,0.13,0,3.00605700617281
"244",2022-04-03 03:00:35,-4.15627777777778,0.161696991371988,0.442643942549471,0,0,0,3186.37747001509,0.13,0,4.15512325617288
"245",2022-04-03 04:00:36,-4.90622222222222,0.450623630917788,0.370217337896668,0,0,0,3186.43465903405,0.2,0,4.90758506172835
"246",2022-04-03 05:00:36,-4.79688888888889,0.0357637802315705,0.437500796363629,0,0,0,3186.08507472125,0.2,0.13,4.79688888888889
"247",2022-04-03 06:00:35,-4.38538888888889,0.560776074031025,0.424996753791861,0,0,0,3186.516203705,0.2,0.13,4.38417072530868
"248",2022-04-03 07:00:35,-5.73438888888889,0.505521033573249,0.476737417469999,0,0,0,3186.58029225828,0.31,0.13,5.73438888888889
"249",2022-04-03 08:00:36,-6.29688888888889,0.153784254995753,0.404211729567593,0,0,0,3186.28456629426,0.42,0.13,6.2986380246913
"250",2022-04-03 09:00:35,-6.38538888888889,0.578970897223837,0.430827570216743,0,0,0,3186.70196996647,0.54,0.13,6.38361516975315
"251",2022-04-03 10:00:35,-6.875,1.5918458581072,0.516081503102452,0.13,0.130036121144762,0,3186.82298958664,0.76,0.13,6.875
"252",2022-04-03 11:00:36,-7.04166666666667,1.85292145379767,0.510812368055104,0,0,1,3186.46619965118,0.75,0,7.04362268518512
"253",2022-04-03 12:00:36,-7.14061111111111,1.6079842639367,0.498426505132916,0,0,1,3186.18569620126,0.81,0,7.14061111111111
"254",2022-04-03 13:00:35,-7.58855555555556,0.974831239662032,1.93214595822377,0,0,1,3187.40064485343,0.9,0,7.58644762345687
"255",2022-04-03 14:00:35,-7.02083333333333,0.503554025660512,23.568019242557,0,0,1,3178.46023454819,0.97,0,7.02083333333333
"256",2022-04-03 15:00:36,-5.16666666666667,1.03616612275918,183.979024484911,0,0,0,2994.20516258193,0.97,0,5.1681018518518
"257",2022-04-03 16:00:35,-4.28644444444444,0.55871965666771,366.343104021186,0,0,1,3269.28979320602,0.97,0,4.28525376543214
"258",2022-04-03 17:00:36,-2.10938888888889,0.875989092047029,605.245000939651,0,0,1,3516.74856946884,0.97,0,2.10997483024689
"259",2022-04-03 18:00:36,0.203111111111111,1.10934775805803,784.810751230313,0,0,0,3337.98840722693,1.53,0,0
"260",2022-04-03 19:00:35,0.0468888888888901,1.87603379677232,597.890279318152,0,0,1,4029.14688069136,1.53,0,0
"261",2022-04-03 20:00:35,0.818166666666668,1.49179668290938,517.933665826533,0,0,1,3771.68754209293,1.53,0,0
"262",2022-04-03 21:00:36,0.567722222222223,1.59801511019715,601.156935552422,0,0,1,3858.50479747566,1.53,0,0
"263",2022-04-03 22:00:35,1.79166666666667,0.86181769413027,367.529667176136,0,0,0,4342.71355903401,1.53,0.07,0
"264",2022-04-03 23:00:36,-0.984388888888888,3.15342661719344,215.344427322109,0,0,0,4466.58779969816,1.53,0.07,0.984662330246931
"265",2022-04-04 00:00:36,-2.14061111111111,1.35374849121552,99.3575656252006,0,0,1,4395.91847473079,1.53,0.07,2.14061111111111
"266",2022-04-04 01:00:35,-3.1875,0.630515445482588,41.2109246889462,0,0,0,4466.18319648644,1.53,0.18,3.18661458333327
"267",2022-04-04 02:00:36,-3.78644444444444,0.393535696723144,8.65973026967375,0,0,1,4420.69736945261,1.53,0.29,3.78749623456797
"268",2022-04-04 03:00:36,-3.98438888888889,1.75470517233672,0.37532325817237,0.07,0.102028341205891,1,4419.01783881735,1.53,0.41,3.98438888888889
"269",2022-04-04 04:00:35,-4.4375,2.9295900576691,0.361258565873355,0,0.102028341205891,0,4419.38602742634,1.46,0.56,4.43626736111103
"270",2022-04-04 05:00:35,-3.75522222222222,3.19719254325182,0.398283468415107,0,0.102028341205891,0,4419.36193937636,1.46,0.68,3.75522222222222
"271",2022-04-04 06:00:36,-3.5625,3.96580088515356,0.332749400908377,0.11,0.102028341205891,0,4418.84556127398,1.46,0.74,3.5634895833334
"272",2022-04-04 07:00:36,-3.57811111111111,2.53659081764943,0.368151729086614,0.11,0.102028341205891,0,4418.75541491141,1.35,0.72,3.57811111111111
"273",2022-04-04 08:00:35,-3.55205555555556,3.13451651839599,0.408854409005426,0.12,0.102028341205891,0,4419.14381006294,1.24,0.68,3.55106887345672
"274",2022-04-04 09:00:36,-3.85938888888889,1.74013143189235,0.419551534583173,0.22,0.102028341205891,0,4418.66726988224,1.12,0.56,3.8604609413581
"275",2022-04-04 10:00:35,-3.57288888888889,1.70700523045286,0.322131751433039,0.12,0.102028341205891,0,4419.03800851368,0.9,0.34,3.57189641975302
"276",2022-04-04 11:00:36,-3.72394444444444,1.60941481514596,0.345172513594089,0.06,0.102028341205891,0,4418.85816376762,0.78,0.22,3.72497887345686
"277",2022-04-04 12:00:36,-4.36461111111111,0.832267870713934,0.350617939309748,0.09,0.102028341205891,0,4418.70143955747,0.72,0.72,4.36461111111111
"278",2022-04-04 13:00:35,-4.54688888888889,0.945147302069829,1.74796897501202,0.07,0.102028341205891,0,4418.53549289206,0.63,0.63,4.54562586419745
"279",2022-04-04 14:00:36,-4.35416666666667,1.45165183959945,29.2622476927437,0,0.102028341205891,0,4317.49247775806,0.56,0.56,4.35537615740749
"280",2022-04-04 15:00:36,-3.5,2.33457016406634,152.421816652129,0,0.102028341205891,0,4408.33450993049,0.56,0.56,3.5
"281",2022-04-04 16:00:35,-1.66666666666667,2.82073405158925,313.222088213257,0,0.102028341205891,0,4366.00715897453,0.56,0.56,1.66620370370367
"282",2022-04-04 17:00:36,-0.276055555555556,1.10094326970361,390.492089315295,0.56,0.102028341205891,0,4232.03299054625,0.79,0.56,0.276132237654326
"283",2022-04-04 18:00:36,0.140611111111113,3.00330814967142,618.109279238052,0,0,0,4041.30579873794,0.23,0,0
