"","tempC","windMS","irradiance","rainmm","intensity","solarInsol24","sumrain24","sumrain6","FP","datetime","rockfall"
"1",2.71987821268581,1.28348405149167,0.13738035330744,0.32672294345894,-0.230343862096906,-3.60054719534932,-0.36470594711377,-0.166417926361065,-0.889784741846561,2022-03-24 00:00:36,0
"2",1.07323673336471,1.65567979126073,-0.607403139807374,-0.16211443759413,-0.230343862096906,-3.49433617716199,-0.444768331621105,-0.336253750544413,-0.889784741846561,2022-03-24 01:00:35,0
"3",0.807411288822997,-0.220766478890781,-0.708060986915063,-0.16211443759413,-0.230343862096906,-3.4810702878841,-0.444768331621105,0.0519424190175264,-0.889784741846561,2022-03-24 02:00:36,0
"4",0.728128338454681,1.30748411175523,-0.717170598140591,-0.16211443759413,-0.230343862096906,-3.47988020795483,-0.444768331621105,0.0519424190175264,-0.889784741846561,2022-03-24 03:00:35,0
"5",0.792667643204576,-0.826066700083296,-0.716774690136491,-0.16211443759413,-0.230343862096906,-3.47964809627487,-0.444768331621105,0.0519424190175264,-0.889784741846561,2022-03-24 04:00:35,0
"6",0.463698855171259,-0.44790990638514,-0.716760251066752,-0.16211443759413,-0.230343862096906,-3.47937077922134,-0.444768331621105,0.0519424190175264,-0.889784741846561,2022-03-24 05:00:36,0
"7",0.51209855304444,-0.315286196746924,-0.717358446895427,-0.16211443759413,-0.230343862096906,-3.47915773845872,-0.444768331621105,0.0519424190175264,-0.889784741846561,2022-03-24 06:00:36,0
"8",0.430530433219054,0.400897419754157,-0.716987662305347,0.95522814767003,1.39475929096473,-3.47896975972339,-0.444768331621105,0.0519424190175264,-0.852200309436478,2022-03-24 07:00:35,0
"9",0.297866306788714,-0.234675604725341,-0.716655443191478,-0.16211443759413,-0.230343862096906,-3.47870441516594,-0.627768067637871,-0.336253750544413,-0.672689213763899,2022-03-24 08:00:35,1
"10",0.378535657036842,0.0400783319282126,-0.716863919891306,-0.16211443759413,-0.230343862096906,-3.4784253844159,-0.627768067637871,-0.336253750544413,-0.781808562506094,2022-03-24 09:00:36,1
"11",0.286210986419807,1.09097707460494,-0.716837525308638,-0.16211443759413,-0.230343862096906,-3.4781665277549,-0.627768067637871,-0.336253750544413,-0.65698371521838,2022-03-24 10:00:35,0
"12",0.167888927711666,0.48255996246911,-0.71679798810025,-0.16211443759413,-0.230343862096906,-3.47790034824939,-0.627768067637871,-0.336253750544413,-0.496823853609217,2022-03-24 11:00:35,0
"13",0.124862724545069,-1.11469080143462,-0.716999569652676,-0.16211443759413,-0.230343862096906,-3.47765192075707,-0.627768067637871,-0.336253750544413,-0.438482098689947,2022-03-24 12:00:36,1
"14",-0.141364297892868,0.741028143943823,-0.716451383234005,-0.16211443759413,-0.230343862096906,-3.47736552358576,-0.627768067637871,-0.336253750544413,-0.0786154313414003,2022-03-24 13:00:35,1
"15",-0.242647980147037,-0.525208801779447,-0.606855303695709,-0.16211443759413,-0.230343862096906,-3.46496581227927,-0.627768067637871,-0.336253750544413,0.0586514273207188,2022-03-24 14:00:35,0
"16",-0.288370492045407,0.168338394245782,-0.458155668284082,-0.16211443759413,-0.230343862096906,-3.42414841585291,-0.627768067637871,-0.336253750544413,0.120796723807133,2022-03-24 15:00:36,0
"17",0.00743943541418649,1.70921239321223,1.35781958466146,-0.16211443759413,-0.230343862096906,-3.1673464662658,-0.627768067637871,-0.336253750544413,-0.279897785642199,2022-03-24 16:00:35,0
"18",-0.0938538082184637,1.21023711432368,1.70122599781564,-0.16211443759413,-0.230343862096906,-2.67299283302616,-0.627768067637871,-0.336253750544413,-0.142673917296551,2022-03-24 17:00:35,0
"19",0.0836244991545069,-0.681170232355762,2.44784094137271,-0.16211443759413,-0.230343862096906,-2.05859230489655,-0.627768067637871,-0.336253750544413,-0.382669387580714,2022-03-24 18:00:36,0
"20",0.0997641060312214,2.36894132250245,2.22317470373899,-0.16211443759413,-0.230343862096906,-1.38714708814973,-0.627768067637871,-0.336253750544413,-0.404782603037851,2022-03-24 19:00:35,0
"21",0.234225771616077,-0.769066556957353,0.616250698934995,-0.16211443759413,-0.230343862096906,-0.916946421281759,-0.627768067637871,-0.336253750544413,-0.586580648427018,2022-03-24 20:00:35,0
"22",0.303239801495298,1.78004373989915,2.30198413934694,-0.16211443759413,-0.230343862096906,-0.437945582812829,-0.627768067637871,-0.336253750544413,-0.679901514051374,2022-03-24 21:00:36,0
"23",0.606220762815991,2.31108403436709,0.95131505832722,-0.16211443759413,-0.230343862096906,0.077628046780581,-0.627768067637871,-0.336253750544413,-0.889784741846561,2022-03-24 22:00:35,0
"24",0.842864880232273,1.07504196965723,-0.31939305319947,-0.16211443759413,-0.230343862096906,0.305056144324232,-0.627768067637871,-0.336253750544413,-0.889784741846561,2022-03-24 23:00:35,0
"25",1.43447517377298,0.317520587020379,0.308293373841893,-0.16211443759413,-0.230343862096906,0.461810768781819,-0.627768067637871,-0.336253750544413,-0.889784741846561,2022-03-25 00:00:36,0
"26",0.889476600329419,-0.820339412974947,-0.459143276297147,-0.16211443759413,-0.230343862096906,0.496902400893652,-0.627768067637871,-0.336253750544413,-0.889784741846561,2022-03-25 01:00:35,0
"27",0.0504656385807831,-0.233623654031971,-0.704883672438269,-0.16211443759413,-0.230343862096906,0.513553184085581,-0.627768067637871,-0.336253750544413,-0.337944753413569,2022-03-25 02:00:35,0
"28",-0.0409698238374759,0.365014212769199,-0.716608232586979,-0.16211443759413,-0.230343862096906,0.513733123336631,-0.627768067637871,-0.336253750544413,-0.214040721115514,2022-03-25 03:00:36,0
